-182.409, 62.988, 3.227,  7.771
-182.403, 62.880, 3.238,  7.804
-182.398, 62.772, 3.248,  7.837
-182.392, 62.663, 3.259,  7.870
-182.387, 62.555, 3.270,  7.903
-182.381, 62.446, 3.281,  7.936
-182.376, 62.336, 3.292,  7.969
-182.370, 62.226, 3.303,  8.002
-182.365, 62.116, 3.314,  8.035
-182.359, 62.005, 3.325,  8.068
-182.354, 61.894, 3.336,  8.101
-182.349, 61.783, 3.347,  8.134
-182.343, 61.671, 3.358,  8.167
-182.338, 61.559, 3.369,  8.200
-182.332, 61.447, 3.380,  8.233
-182.327, 61.334, 3.392,  8.266
-182.322, 61.221, 3.403,  8.299
-182.316, 61.107, 3.414,  8.332
-182.311, 60.993, 3.426,  8.365
-182.306, 60.879, 3.437,  8.398
-182.300, 60.764, 3.448,  8.431
-182.295, 60.649, 3.460,  8.464
-182.290, 60.533, 3.471,  8.497
-182.285, 60.418, 3.483,  8.530
-182.279, 60.301, 3.494,  8.563
-182.274, 60.185, 3.506,  8.596
-182.269, 60.068, 3.518,  8.629
-182.264, 59.950, 3.529,  8.662
-182.259, 59.832, 3.541,  8.695
-182.253, 59.714, 3.553,  8.728
-182.248, 59.595, 3.565,  8.761
-182.243, 59.476, 3.577,  8.794
-182.238, 59.357, 3.589,  8.827
-182.233, 59.237, 3.601,  8.860
-182.228, 59.117, 3.613,  8.893
-182.222, 58.996, 3.625,  8.926
-182.217, 58.875, 3.637,  8.959
-182.212, 58.754, 3.649,  8.992
-182.207, 58.632, 3.661,  9.025
-182.202, 58.510, 3.674,  9.058
-182.197, 58.387, 3.686,  9.091
-182.192, 58.264, 3.698,  9.124
-182.187, 58.141, 3.710,  9.157
-182.182, 58.017, 3.723,  9.190
-182.177, 57.892, 3.735,  9.223
-182.172, 57.768, 3.747,  9.256
-182.167, 57.642, 3.760,  9.289
-182.162, 57.517, 3.772,  9.322
-182.157, 57.391, 3.785,  9.355
-182.152, 57.265, 3.797,  9.388
-182.147, 57.138, 3.810,  9.421
-182.143, 57.011, 3.823,  9.454
-182.138, 56.883, 3.835,  9.487
-182.133, 56.755, 3.848,  9.520
-182.128, 56.626, 3.861,  9.553
-182.123, 56.497, 3.874,  9.586
-182.118, 56.368, 3.887,  9.619
-182.114, 56.238, 3.900,  9.652
-182.109, 56.108, 3.912,  9.685
-182.104, 55.977, 3.925,  9.718
-182.099, 55.846, 3.938,  9.751
-182.095, 55.715, 3.951,  9.784
-182.090, 55.583, 3.964,  9.817
-182.085, 55.450, 3.977,  9.850
-182.080, 55.318, 3.990,  9.883
-182.076, 55.184, 4.003,  9.916
-182.071, 55.051, 4.016,  9.949
-182.066, 54.917, 4.029,  9.982
-182.062, 54.782, 4.042, 10.015
-182.057, 54.647, 4.055, 10.048
-182.052, 54.512, 4.068, 10.081
-182.048, 54.376, 4.081, 10.114
-182.043, 54.240, 4.095, 10.147
-182.039, 54.103, 4.108, 10.180
-182.034, 53.966, 4.121, 10.213
-182.030, 53.828, 4.135, 10.246
-182.025, 53.690, 4.148, 10.279
-182.021, 53.551, 4.162, 10.312
-182.016, 53.412, 4.175, 10.345
-182.012, 53.273, 4.189, 10.378
-182.007, 53.133, 4.203, 10.411
-182.003, 52.993, 4.217, 10.444
-181.998, 52.852, 4.231, 10.477
-181.994, 52.710, 4.244, 10.510
-181.989, 52.569, 4.258, 10.543
-181.985, 52.426, 4.272, 10.576
-181.981, 52.284, 4.286, 10.609
-181.976, 52.141, 4.300, 10.642
-181.972, 51.997, 4.315, 10.675
-181.968, 51.853, 4.329, 10.708
-181.963, 51.708, 4.343, 10.741
-181.959, 51.563, 4.357, 10.774
-181.955, 51.418, 4.372, 10.807
-181.951, 51.272, 4.386, 10.840
-181.946, 51.125, 4.401, 10.873
-181.942, 50.978, 4.415, 10.906
-181.938, 50.831, 4.430, 10.939
-181.934, 50.683, 4.444, 10.972
-181.929, 50.534, 4.459, 11.005
-181.925, 50.385, 4.474, 11.038
-181.921, 50.236, 4.488, 11.071
-181.917, 50.086, 4.503, 11.104
-181.913, 49.935, 4.518, 11.137
-181.909, 49.784, 4.533, 11.170
-181.905, 49.633, 4.548, 11.203
-181.901, 49.481, 4.563, 11.236
-181.897, 49.329, 4.578, 11.269
-181.893, 49.176, 4.593, 11.302
-181.889, 49.022, 4.608, 11.335
-181.884, 48.868, 4.623, 11.368
-181.880, 48.714, 4.639, 11.401
-181.877, 48.559, 4.654, 11.434
-181.873, 48.404, 4.669, 11.467
-181.869, 48.248, 4.685, 11.500
-181.865, 48.091, 4.700, 11.533
-181.861, 47.934, 4.716, 11.566
-181.857, 47.776, 4.731, 11.599
-181.853, 47.618, 4.747, 11.632
-181.849, 47.460, 4.763, 11.665
-181.845, 47.301, 4.779, 11.698
